Programa,Tempo_Sequencial(s),Tempo_Paralelo(s),Speedup,Eficiência

bag_bsend_irecv,0.000,1.586,0,0
bag_bsend_recv,0.000,1.488,0,0
bag_isend_irecv,0.000,0.000,N/A,N/A
bag_isend_recv,0.000,1.591,0,0
bag_rsend_recv,0.000,4.385,0,0
bag_send_irecv,0.000,1.577,0,0
bag_send_recv,0.000,1.565,0,0
bag_ssend_irecv,0.000,1.585,0,0
bag_ssend_recv,0.000,1.570,0,0

primes_bsend_irecv,4.325,1.090,3.96,.99
primes_bsend_recv,4.262,1.101,3.87,.96
primes_isend_irecv,4.285,1.098,3.90,.97
primes_isend_recv,4.315,1.083,3.98,.99
primes_rsend_irecv,4.285,1.090,3.93,.98
primes_rsend_recv,4.279,1.089,3.92,.98
primes_send_irecv,4.294,1.094,3.92,.98
primes_send_recv,4.284,1.099,3.89,.97
primes_ssend_irecv,4.278,1.099,3.89,.97
primes_ssend_recv,4.287,1.108,3.86,.96
